,Actual,Predicted,DATE,STATION_CODES,PredictedDelay,Predicted_Delay
400,Mostly Cloudy,Fair,2005-02-04,0,No Delay,None
401,Mostly Cloudy,Rain,2005-02-05,0,No Delay,None
402,Mostly Cloudy,Overcast,2005-02-06,0,No Delay,None
403,Mostly Cloudy,Overcast,2005-02-07,0,No Delay,None
404,Clear,Overcast,2005-02-08,0,No Delay,None
405,Clear,Overcast,2005-02-09,0,No Delay,None
406,Clear,Fair,2005-02-10,0,No Delay,None
407,Clear,Fair,2005-02-11,0,No Delay,None
408,Mostly Cloudy,Overcast,2005-02-12,0,No Delay,None
409,Mostly Cloudy,Partly Cloudy and Rain Showers,2005-02-13,0,No Delay,None
410,Mostly Cloudy,Overcast,2005-02-14,0,No Delay,None
411,Clear,Overcast,2005-02-15,0,No Delay,None
412,Clear,Partly Cloudy,2005-02-16,0,No Delay,None
413,Clear,Partly Cloudy,2005-02-17,0,No Delay,None
414,Mostly Cloudy,Mostly Cloudy,2005-02-18,0,No Delay,None
415,Mostly Cloudy,Overcast,2005-02-19,0,No Delay,None
416,Mostly Cloudy,Mostly Cloudy,2005-02-20,0,No Delay,None
417,Clear,Partly Cloudy and Rain Showers,2005-02-21,0,No Delay,None
418,Clear,Partly Cloudy,2005-02-22,0,No Delay,None
419,Clear,Partly Cloudy,2005-02-23,0,No Delay,None
420,Clear,Partly Cloudy,2005-02-24,0,No Delay,None
421,Clear,Fair,2005-02-25,0,No Delay,None
422,Clear,Partly Cloudy,2005-02-26,0,No Delay,None
423,Mostly Cloudy,Mostly Cloudy,2005-02-27,0,No Delay,None
424,Mostly Cloudy,Mostly Cloudy,2005-02-28,0,No Delay,None
425,Mostly Cloudy,Mostly Cloudy,2005-03-01,0,No Delay,None
426,Mostly Cloudy,Partly Cloudy and Rain Showers,2005-03-02,0,No Delay,None
427,Mostly Cloudy,Fair,2005-03-03,0,No Delay,None
428,Mostly Cloudy,Partly Cloudy,2005-03-04,0,No Delay,None
429,Clear,Fair,2005-03-05,0,No Delay,None
430,Clear,Partly Cloudy,2005-03-06,0,No Delay,None
431,Clear,Partly Cloudy,2005-03-07,0,No Delay,None
432,Clear,Partly Cloudy,2005-03-08,0,No Delay,None
433,Clear,Fair,2005-03-09,0,No Delay,None
434,Clear,Overcast,2005-03-10,0,No Delay,None
435,Clear,Fair,2005-03-11,0,No Delay,None
436,Clear,Overcast,2005-03-12,0,No Delay,None
437,Clear,Fair,2005-03-13,0,No Delay,None
438,Clear,Fair,2005-03-14,0,No Delay,None
439,Clear,Fair,2005-03-15,0,No Delay,None
440,Mostly Cloudy,Overcast,2005-03-16,0,No Delay,None
441,Mostly Cloudy,Mostly Cloudy,2005-03-17,0,No Delay,None
