DATE,HIGH_TEMP_F,LOW_TEMP__F,AVG_DAILY_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_XN_F,NORMAL_HIGH_TEMP__F,NORMAL_LOW_TEMP__F,NORMAL_AVG_DAILY_TEMP_ALL_HOURS__F,NORMAL_AVG_DAILY_TEMP_XN__F,DFN_HIGH_TEMP__F,DFN_LOW_TEMP__F,DFN_AVG_DAILY_TEMP_ALL_HOURS__F,DFN_AVG_DAILY_TEMP_XN__F,WARMEST_WINDCHILL_TEMP__F,COLDEST_WINDCHILL_TEMP__F,AVG_DAILY_WINDCHILL_TEMP_ALL_HOURS__F,MAXIMUM_WIND_CHILL_ENERGY__WMEXP2_ALL_HOURS,MINIMUM_WIND_CHILL_ENERGY__WMEXP2_ALL_HOURS,DAILY_AVG_WIND_CHILL_ENERGY__WMEXP2_ALL_HOURS,EXT_MAX__WARM,EXT_MAX__WARM_DATE,EXT_MAX__COLD,EXT_MAX__COLD_DATE,EXT_MIN__WARM,EXT_MIN__WARM_DATE,EXT_MIN__COLD,EXT_MIN__COLD_DATE,NORMAL_HIGHEST_DEW_POINT_TEMP__F,NORMAL_LOWEST_DEW_POINT_TEMP__F,NORMAL_AVG_DAILY_DEW_POINT_TEMP_ALL_HOURS__F,NORMAL_HIGHEST_RELATIVE_HUMIDITY_%,NORMAL_LOWEST_RELATIVE_HUMIDITY_%,NORMAL_AVG_DAILY_RELATIVE_HUMIDITY_ALL_HOURS_%,NORMAL_HIGHEST_WET_BULB_TEMP__F,NORMAL_LOWEST_WET_BULB_TEMP__F,NORMAL_AVG_DAILY_WET_BULB_TEMP_ALL_HOURS__F,HEATING_DEGREE_DAYS_XN__BASE_OF_65_F,NORMAL_HEATING_DEGREE_DAYS_XN__BASE_OF_65_F,DEPART_NORMAL__HDDS_FROM_XN__BASE_OF_65_F,HEATING_DEGREE_DAYS_ALL_HOURS__BASE_OF_65_F,NORMAL_HDDS_ALL_HOURS__BASE_OF_65_F,DEPART_NORMAL__HDDS_ALL_HOURS__BASE_OF_65_F,COOLING_DEGREE_DAYS_XN__BASE_OF_65_F,NORMAL_COOLING_DEGREE_DAYS_XN__BASE_OF_65_F,DEPART_NORMAL__CDDS_FROM_XN__BASE_OF_65_F,COOLING_DEGREE_DAYS_ALL_HOURS__BASE_OF_65_F,NORMAL_CDDS_ALL_HOURS__BASE_OF_65_F,DEPART_NORMAL__CDDS_ALL_HOURS__BASE_OF_65_F,EFFECTIVE_DEGREE_DAYS_XN__BASE_OF_65_F,NORMAL_EFFECTIVE_DEGREE_DAYS_XN__BASE_OF_65_F,DEPART_NORMAL__EDDS_FROM_XN__BASE_OF_65_F,EFFECTIVE_DEGREE_DAYS_ALL_HOURS__BASE_OF_65_F,NORMAL_EDDS_ALL_HOURS__BASE_OF_65_F,DEPART_NORMAL__EDDS_ALL_HOURS__BASE_OF_65_F,GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,NORMAL_GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,GROWING_DEGREE_DAYS_ALL_HOURS__BASE_OF_50_F,NORMAL_GROWING_DEGREE_DAYS_ALL_HOURS__BASE_OF_50_F,AVG_DAILY_SOIL_TEMP_WBI_CALC__F,HIGHEST_SUSTAIN_SPEED__MPH,LOWEST_SUSTAIN_SPEED__MPH,AVG_DAILY_WIND_SPEED_ALL_HOURS_MPH,PREDOMINATE_WIND_DIR__DEG,NORMAL_AVG_DAILY_WIND_SPEED_ALL_HOURS_MPH,AVG_DAILY_CLOUD_COVER_ALL_HOURS_%,MAXIMUM_SOLAR_RADIANCE__WMEXP2,MINIMUM_SOLAR_RADIANCE__WMEXP2,AVG_SOLAR_RADIANCE__WMEXP2,MAXIMUM_SOLAR_RADIANCE__FTCANDLES,MINIMUM_SOLAR_RADIANCE__FTCANDLES,AVG_SOLAR_RADIANCE__FTCANDLES,TOTAL_MINUTES_OF_SUNSHINE_CALCULATED,TOT_MIN_OF_SUNSHINE_POSSIBLE_ON_CLOUDFREE_DAY,PERCENT_OF_SUNSHINE_POSSIBLE_CALCTOTAL_POSSIBLE,NORMAL_TOTAL_DAILY_WATER_EQUIVALENT_INCHES,SNOWFALL__WBI_CALCULATED;_SUM_OF_ALL_HOURS,AVG_POPS_ON_FCST_DATA__OR__%_OF_DAY_WITH_PRECIP,OBSERVED_DAILY_WATER_EQUIVALENT_INCHES,STATION_CODES,WBI_24_LETTER_CODE_ALL_HOURS_CODES
2005-01-16,28.0,21.9,24.8,25.0,42.1,30.0,35.1,36.0,-14.0,-8.1,-10.3,-11.0,28.0,14.7,23.2,1186,368,629,63.0,1991,6.1,1930,42.1,1989,-16.1,1930,32.0,30.0,31.3,100,68,87,37.9,30.0,33.4,40.0,29.0,11.0,40.1,29.9,10.3,0.0,0.0,0.0,0.0,0.0,0.0,40.7,29.5,11.2,40.9,30.4,10.4,0.0,0.0,0.0,0.0,35.6,8.0,0.0,1.9,0,8.9,100,157,0,47,1146,0,344,0,551,0,0.14,0.0,16,0.0,17,4
2005-01-17,30.0,24.8,27.1,27.3,43.0,30.0,35.4,36.5,-13.0,-5.2,-8.3,-9.2,30.0,14.7,24.6,1186,357,707,63.0,1975,9.0,1930,44.1,1953,-11.0,1943,32.0,30.0,31.3,100,65,86,38.5,30.0,33.8,37.6,28.4,9.2,37.8,29.5,8.3,0.0,0.0,0.0,0.0,0.0,0.0,38.7,29.3,9.4,38.9,30.4,8.5,0.0,0.0,0.0,0.0,39.6,10.0,0.0,3.0,0,8.9,84,733,0,86,5348,0,631,107,552,19,0.14,0.1,25,0.01,17,4
2005-01-18,46.0,30.0,37.4,38.1,43.0,30.0,35.4,36.5,3.1,0.0,2.0,1.6,45.0,29.5,37.0,901,270,457,62.1,1995,12.0,1935,50.0,1995,-2.0,1930,32.0,30.0,31.5,100,65,87,38.5,30.0,33.8,26.8,28.4,-1.6,27.5,29.5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,28.8,-1.6,27.9,29.9,-2.0,0.0,0.0,0.0,0.0,42.4,7.0,0.0,1.3,2,8.7,99,343,0,56,2502,0,407,21,555,4,0.14,0.4,37,0.04,17,3
2005-01-19,45.0,39.9,42.3,42.4,43.0,30.0,35.4,36.5,2.0,9.9,6.8,5.9,45.0,39.9,42.3,674,270,329,59.0,1995,8.1,1930,42.1,1975,-11.9,1930,32.0,30.0,31.5,100,65,87,38.5,30.0,33.8,22.5,28.4,-5.9,22.7,29.5,-6.8,0.0,0.0,0.0,0.0,0.0,0.0,22.5,28.6,-6.1,22.7,29.7,-7.0,0.0,0.0,0.0,0.0,43.5,3.0,0.0,0.4,0,8.5,100,157,0,47,1146,0,344,0,557,0,0.13,0.0,0,0.0,17,2
2005-01-20,51.1,39.9,43.2,45.5,43.0,30.0,35.4,36.5,8.1,9.9,7.7,9.0,51.1,39.9,43.2,620,241,306,64.9,1968,1.9,1930,43.0,1968,-20.9,1930,32.0,30.0,31.5,100,65,86,38.5,30.0,33.8,19.4,28.4,-9.0,21.8,29.5,-7.7,0.0,0.0,0.0,0.0,0.0,0.0,19.4,28.4,-9.0,21.8,29.5,-7.7,0.0,0.0,0.0,0.0,43.2,3.0,0.0,0.2,0,8.5,74,714,0,96,5215,0,701,123,559,22,0.13,0.0,0,0.0,17,2
2005-01-21,52.0,37.0,43.2,44.6,43.0,30.0,35.6,36.5,9.0,7.0,7.6,8.1,52.0,37.0,42.4,839,229,386,63.0,1995,1.9,1930,41.0,1935,-18.9,1930,32.0,30.0,31.5,100,65,86,38.5,30.0,33.8,20.3,28.4,-8.1,21.8,29.3,-7.6,0.0,0.0,0.0,0.0,0.0,0.0,20.5,28.8,-8.3,22.0,29.7,-7.7,0.0,0.0,0.0,0.0,42.3,9.0,0.0,1.1,0,8.3,73,626,0,99,4569,0,722,153,561,27,0.13,0.0,0,0.0,17,2
2005-01-22,46.9,36.0,41.4,41.4,43.0,30.0,35.6,36.5,4.0,5.9,5.8,4.9,46.9,36.0,40.5,787,258,481,64.0,1995,9.0,1930,46.0,1971,-8.0,1929,32.0,30.0,31.5,100,65,86,38.5,30.0,33.8,23.6,28.4,-4.9,23.6,29.3,-5.8,0.0,0.0,0.0,0.0,0.0,0.0,24.1,29.0,-4.9,24.1,29.9,-5.8,0.0,0.0,0.0,0.0,41.7,6.0,0.0,2.1,0,8.3,95,221,0,55,1610,0,398,12,563,2,0.13,0.0,0,0.0,17,2
2005-01-23,46.9,41.0,43.2,43.9,44.1,30.0,36.1,37.0,2.9,11.0,7.0,6.8,46.9,37.6,41.4,801,258,532,69.1,1995,10.9,1930,50.0,1984,-5.1,1949,32.0,30.0,31.3,100,63,84,39.0,30.0,34.2,21.1,27.9,-6.8,21.8,28.8,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,28.8,-7.2,22.5,29.7,-7.2,0.0,0.0,0.0,0.0,42.1,7.0,0.0,3.0,0,8.3,100,157,0,48,1145,0,352,0,565,0,0.13,0.0,0,0.0,17,3
2005-01-24,42.1,39.0,40.5,40.6,44.1,30.9,36.5,37.4,-2.0,8.1,4.0,3.2,42.1,34.5,38.1,848,293,633,62.1,1995,12.0,1930,45.0,1971,-9.9,1957,32.0,30.0,31.1,96,63,82,39.0,30.6,34.2,24.3,27.5,-3.2,24.5,28.4,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,28.6,-3.4,25.4,29.5,-4.1,0.0,0.0,0.0,0.0,41.7,8.0,0.0,3.7,64,8.3,100,157,0,48,1145,0,352,0,568,0,0.13,0.0,0,0.0,17,4
2005-01-25,42.1,39.0,39.9,40.6,44.1,30.9,36.5,37.4,-2.0,8.1,3.4,3.2,41.0,34.0,36.9,940,299,699,61.0,2003,8.1,1957,45.0,2003,-17.0,1957,32.0,30.0,30.9,96,63,81,39.0,30.6,34.2,24.3,27.5,-3.2,25.0,28.4,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,25.6,29.0,-3.4,26.3,29.9,-3.6,0.0,0.0,0.0,0.0,42.8,12.0,0.0,5.0,90,8.3,100,157,0,48,1145,0,352,0,570,0,0.13,0.0,8,0.01,17,4
2005-01-26,45.0,39.0,41.4,42.1,44.1,30.9,36.5,37.4,0.9,8.1,4.9,4.7,45.0,34.5,41.0,818,270,361,61.0,1934,1.0,1957,46.9,1984,-17.0,1957,32.0,28.9,30.6,96,60,80,38.7,30.2,34.2,22.9,27.5,-4.7,23.6,28.4,-4.9,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.7,-4.7,23.8,28.6,-4.9,0.0,0.0,0.0,0.0,43.5,6.0,0.0,0.7,0,8.3,99,157,0,48,1145,0,353,0,573,0,0.13,0.0,33,0.03,17,4
2005-01-27,48.9,34.0,40.6,41.4,44.1,30.9,36.5,37.4,4.9,3.1,4.1,4.0,48.0,34.0,39.2,920,252,493,61.0,1931,8.1,1957,46.0,1974,-11.9,1957,30.9,28.9,30.6,92,60,80,38.7,30.2,34.0,23.6,27.5,-4.0,24.3,28.4,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,24.1,28.3,-4.1,24.8,29.2,-4.3,0.0,0.0,0.0,0.0,44.1,12.0,0.0,2.4,0,8.3,84,746,0,96,5445,0,701,132,575,23,0.13,0.0,0,0.0,17,3
2005-01-28,48.0,37.0,42.8,42.4,44.1,30.9,36.5,37.4,4.0,6.1,6.3,5.0,46.9,34.5,40.3,878,275,650,64.4,1999,10.0,1950,46.9,1965,-13.0,1957,30.9,28.9,30.4,92,60,80,38.7,30.2,34.0,22.5,27.5,-5.0,22.1,28.4,-6.3,0.0,0.0,0.0,0.0,0.0,0.0,23.6,28.8,-5.2,23.2,29.9,-6.7,0.0,0.0,0.0,0.0,43.2,10.0,0.0,4.8,62,8.4,92,157,0,49,1145,0,354,0,578,0,0.13,0.0,8,0.02,17,4
2005-01-29,53.1,37.9,44.2,45.5,45.0,30.9,37.0,37.9,8.1,7.0,7.2,7.6,50.0,36.3,42.4,819,252,565,63.0,1995,12.0,1929,46.0,1971,-14.1,1950,30.9,28.9,30.2,92,58,78,39.0,30.2,34.2,19.4,27.0,-7.6,20.7,27.9,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,20.3,28.3,-7.9,21.6,29.2,-7.6,0.0,0.0,0.0,0.0,43.0,13.0,0.0,4.3,0,8.4,89,624,0,74,4553,0,542,63,581,11,0.13,0.0,12,0.0,17,4
2005-01-30,55.0,34.0,42.6,44.6,45.0,30.9,37.0,37.9,10.1,3.1,5.6,6.7,54.0,30.2,41.4,901,218,525,68.0,1971,1.0,1950,48.9,1995,-18.9,1950,30.9,28.9,29.8,92,56,76,38.8,30.2,34.2,20.3,27.0,-6.7,22.3,27.9,-5.6,0.0,0.0,0.0,0.0,0.0,0.0,20.9,27.7,-6.8,22.9,28.6,-5.8,0.0,0.0,0.0,0.0,42.1,7.0,0.0,2.4,2,8.6,65,559,0,113,4077,0,825,184,584,32,0.13,0.0,0,0.0,17,4
2005-01-31,57.0,32.0,43.7,44.6,45.0,30.9,37.0,37.9,12.1,1.1,6.7,6.7,52.7,33.1,41.0,878,316,652,61.0,1934,7.0,1950,48.0,1995,-16.1,1950,30.0,28.9,29.8,92,56,76,38.8,30.2,34.2,20.3,27.0,-6.7,21.2,27.9,-6.7,0.0,0.0,0.0,0.0,0.0,0.0,21.8,28.8,-7.0,22.7,29.7,-7.0,0.0,0.0,0.0,0.0,41.5,21.0,0.0,6.8,0,8.9,44,746,0,148,5448,0,1078,272,586,46,0.13,0.0,0,0.0,17,8
2005-02-01,50.0,28.0,36.5,39.0,45.0,30.9,37.0,37.9,5.0,-2.9,-0.5,1.1,48.9,25.9,35.6,927,247,557,59.4,1999,0.0,1950,42.1,1934,-20.9,1950,30.9,28.9,29.8,92,56,77,38.8,30.2,34.2,25.9,27.0,-1.1,28.4,27.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,26.5,27.5,-1.1,29.0,28.4,0.5,0.0,0.0,0.0,0.0,41.2,6.0,0.0,2.1,0,9.1,68,673,0,118,4912,0,861,233,589,40,0.13,0.0,0,0.0,17,8
2005-02-02,57.0,26.1,38.7,41.5,45.0,30.9,37.0,37.9,12.1,-4.9,1.6,3.6,57.0,20.1,37.6,973,200,456,60.1,1967,-2.0,1950,45.0,1968,-25.1,1950,30.9,28.9,30.0,92,56,77,39.0,30.2,34.2,23.4,27.0,-3.6,26.3,27.9,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,23.6,27.4,-3.8,26.6,28.3,-1.6,0.0,0.0,0.0,0.0,40.8,5.0,0.0,1.1,0,9.3,21,784,0,241,5725,0,1757,579,591,98,0.13,0.0,0,0.0,17,0
